lineup_id,roster_slot,player_id,player_name,position,team,roster_role,salary,projection,value,opponent,site_player_id,sigma,sigma_source
1,CPT,00-0034857,Josh Allen,QB,BUF,CPT,17100,56.13271280645694,3.28,DET,44138479,12.94635,statline_mc+recal_10_4b
1,FLEX1,00-0039139,Jahmyr Gibbs,RB,DET,FLEX,12000,27.021518437641745,2.25,BUF,44138432,10.6347,statline_mc+recal_10_4b
1,FLEX2,00-0038933,Dalton Kincaid,TE,BUF,FLEX,6800,20.28394038013128,2.98,DET,44138439,9.0659,statline_mc+recal_10_4b
1,FLEX3,00-0037261,Khalil Shakir,WR,BUF,FLEX,6400,16.200178259570023,2.53,DET,44138440,10.1517,statline_mc+recal_10_4b
1,FLEX4,00-0037240,Jameson Williams,WR,DET,FLEX,7400,13.016884492789366,1.76,BUF,44138438,8.8607,statline_mc+recal_10_4b
1,FLEX5,00-0034487,Trent Sherfield Sr.,WR,BUF,FLEX,200,4.099573836118373,20.5,DET,44138470,6.8587,statline_mc+recal_10_4b
2,CPT,00-0034857,Josh Allen,QB,BUF,CPT,17100,56.13271280645694,3.28,DET,44138479,12.94635,statline_mc+recal_10_4b
2,FLEX1,00-0039139,Jahmyr Gibbs,RB,DET,FLEX,12000,27.021518437641745,2.25,BUF,44138432,10.6347,statline_mc+recal_10_4b
2,FLEX2,00-0038933,Dalton Kincaid,TE,BUF,FLEX,6800,20.28394038013128,2.98,DET,44138439,9.0659,statline_mc+recal_10_4b
2,FLEX3,00-0037261,Khalil Shakir,WR,BUF,FLEX,6400,16.200178259570023,2.53,DET,44138440,10.1517,statline_mc+recal_10_4b
2,FLEX4,00-0037240,Jameson Williams,WR,DET,FLEX,7400,13.016884492789366,1.76,BUF,44138438,8.8607,statline_mc+recal_10_4b
2,FLEX5,00-0040361,Stephen Gosnell,WR,BUF,FLEX,200,4.028374000017291,20.14,DET,44138471,6.6377,statline_mc+recal_10_4b
3,CPT,00-0034857,Josh Allen,QB,BUF,CPT,17100,56.13271280645694,3.28,DET,44138479,12.94635,statline_mc+recal_10_4b
3,FLEX1,00-0039139,Jahmyr Gibbs,RB,DET,FLEX,12000,27.021518437641745,2.25,BUF,44138432,10.6347,statline_mc+recal_10_4b
3,FLEX2,00-0038933,Dalton Kincaid,TE,BUF,FLEX,6800,20.28394038013128,2.98,DET,44138439,9.0659,statline_mc+recal_10_4b
3,FLEX3,00-0037261,Khalil Shakir,WR,BUF,FLEX,6400,16.200178259570023,2.53,DET,44138440,10.1517,statline_mc+recal_10_4b
3,FLEX4,00-0037240,Jameson Williams,WR,DET,FLEX,7400,13.016884492789366,1.76,BUF,44138438,8.8607,statline_mc+recal_10_4b
3,FLEX5,00-0041272,Ja'Mori Maclin,WR,BUF,FLEX,200,3.8788097497890255,19.39,DET,44138469,6.7531,statline_mc+recal_10_4b
4,CPT,00-0034857,Josh Allen,QB,BUF,CPT,17100,56.13271280645694,3.28,DET,44138479,12.94635,statline_mc+recal_10_4b
4,FLEX1,00-0039139,Jahmyr Gibbs,RB,DET,FLEX,12000,27.021518437641745,2.25,BUF,44138432,10.6347,statline_mc+recal_10_4b
4,FLEX2,00-0038933,Dalton Kincaid,TE,BUF,FLEX,6800,20.28394038013128,2.98,DET,44138439,9.0659,statline_mc+recal_10_4b
4,FLEX3,00-0037261,Khalil Shakir,WR,BUF,FLEX,6400,16.200178259570023,2.53,DET,44138440,10.1517,statline_mc+recal_10_4b
4,FLEX4,00-0037240,Jameson Williams,WR,DET,FLEX,7400,13.016884492789366,1.76,BUF,44138438,8.8607,statline_mc+recal_10_4b
4,FLEX5,00-0041443,Skyler Bell,WR,BUF,FLEX,200,3.806339049769112,19.03,DET,44138467,6.6075,statline_mc+recal_10_4b
5,CPT,00-0034857,Josh Allen,QB,BUF,CPT,17100,56.13271280645694,3.28,DET,44138479,12.94635,statline_mc+recal_10_4b
5,FLEX1,00-0039139,Jahmyr Gibbs,RB,DET,FLEX,12000,27.021518437641745,2.25,BUF,44138432,10.6347,statline_mc+recal_10_4b
5,FLEX2,00-0038933,Dalton Kincaid,TE,BUF,FLEX,6800,20.28394038013128,2.98,DET,44138439,9.0659,statline_mc+recal_10_4b
5,FLEX3,00-0037261,Khalil Shakir,WR,BUF,FLEX,6400,16.200178259570023,2.53,DET,44138440,10.1517,statline_mc+recal_10_4b
5,FLEX4,00-0037240,Jameson Williams,WR,DET,FLEX,7400,13.016884492789366,1.76,BUF,44138438,8.8607,statline_mc+recal_10_4b
5,FLEX5,00-0038679,Tyrell Shavers,WR,BUF,FLEX,200,3.587419415463675,17.94,DET,44138477,6.4011,statline_mc+recal_10_4b
6,CPT,00-0034857,Josh Allen,QB,BUF,CPT,17100,56.13271280645694,3.28,DET,44138479,12.94635,statline_mc+recal_10_4b
6,FLEX1,00-0039139,Jahmyr Gibbs,RB,DET,FLEX,12000,27.021518437641745,2.25,BUF,44138432,10.6347,statline_mc+recal_10_4b
6,FLEX2,00-0034827,DJ Moore,WR,BUF,FLEX,7800,20.74034615577865,2.66,DET,44138437,10.6971,statline_mc+recal_10_4b
6,FLEX3,00-0038933,Dalton Kincaid,TE,BUF,FLEX,6800,20.28394038013128,2.98,DET,44138439,9.0659,statline_mc+recal_10_4b
6,FLEX4,00-0039065,Sam LaPorta,TE,DET,FLEX,5400,9.734325256380664,1.8,BUF,44138445,6.7586,statline_mc+recal_10_4b
6,FLEX5,00-0037524,Tay Martin,WR,DET,FLEX,800,1.5912403745610444,1.99,BUF,44138462,4.9413,statline_mc+recal_10_4b
7,CPT,00-0034857,Josh Allen,QB,BUF,CPT,17100,56.13271280645694,3.28,DET,44138479,12.94635,statline_mc+recal_10_4b
7,FLEX1,00-0039139,Jahmyr Gibbs,RB,DET,FLEX,12000,27.021518437641745,2.25,BUF,44138432,10.6347,statline_mc+recal_10_4b
7,FLEX2,00-0038933,Dalton Kincaid,TE,BUF,FLEX,6800,20.28394038013128,2.98,DET,44138439,9.0659,statline_mc+recal_10_4b
7,FLEX3,00-0037261,Khalil Shakir,WR,BUF,FLEX,6400,16.200178259570023,2.53,DET,44138440,10.1517,statline_mc+recal_10_4b
7,FLEX4,00-0037240,Jameson Williams,WR,DET,FLEX,7400,13.016884492789366,1.76,BUF,44138438,8.8607,statline_mc+recal_10_4b
7,FLEX5,00-0040241,Dominic Lovett,WR,DET,FLEX,200,2.779042043181272,13.9,BUF,44138473,5.5702,statline_mc+recal_10_4b
8,CPT,00-0034857,Josh Allen,QB,BUF,CPT,17100,56.13271280645694,3.28,DET,44138479,12.94635,statline_mc+recal_10_4b
8,FLEX1,00-0039139,Jahmyr Gibbs,RB,DET,FLEX,12000,27.021518437641745,2.25,BUF,44138432,10.6347,statline_mc+recal_10_4b
8,FLEX2,00-0038933,Dalton Kincaid,TE,BUF,FLEX,6800,20.28394038013128,2.98,DET,44138439,9.0659,statline_mc+recal_10_4b
8,FLEX3,00-0037261,Khalil Shakir,WR,BUF,FLEX,6400,16.200178259570023,2.53,DET,44138440,10.1517,statline_mc+recal_10_4b
8,FLEX4,00-0037240,Jameson Williams,WR,DET,FLEX,7400,13.016884492789366,1.76,BUF,44138438,8.8607,statline_mc+recal_10_4b
8,FLEX5,00-0038181,Lucky Jackson,WR,DET,FLEX,200,2.661877166436361,13.31,BUF,44138472,5.6098,statline_mc+recal_10_4b
9,CPT,00-0034857,Josh Allen,QB,BUF,CPT,17100,56.13271280645694,3.28,DET,44138479,12.94635,statline_mc+recal_10_4b
9,FLEX1,00-0039139,Jahmyr Gibbs,RB,DET,FLEX,12000,27.021518437641745,2.25,BUF,44138432,10.6347,statline_mc+recal_10_4b
9,FLEX2,00-0038933,Dalton Kincaid,TE,BUF,FLEX,6800,20.28394038013128,2.98,DET,44138439,9.0659,statline_mc+recal_10_4b
9,FLEX3,00-0037261,Khalil Shakir,WR,BUF,FLEX,6400,16.200178259570023,2.53,DET,44138440,10.1517,statline_mc+recal_10_4b
9,FLEX4,00-0037240,Jameson Williams,WR,DET,FLEX,7400,13.016884492789366,1.76,BUF,44138438,8.8607,statline_mc+recal_10_4b
9,FLEX5,00-0041446,Kendrick Law,WR,DET,FLEX,200,2.597999938046031,12.99,BUF,44138468,5.4507,statline_mc+recal_10_4b
10,CPT,00-0034857,Josh Allen,QB,BUF,CPT,17100,56.13271280645694,3.28,DET,44138479,12.94635,statline_mc+recal_10_4b
10,FLEX1,00-0039139,Jahmyr Gibbs,RB,DET,FLEX,12000,27.021518437641745,2.25,BUF,44138432,10.6347,statline_mc+recal_10_4b
10,FLEX2,00-0034827,DJ Moore,WR,BUF,FLEX,7800,20.74034615577865,2.66,DET,44138437,10.6971,statline_mc+recal_10_4b
10,FLEX3,00-0038933,Dalton Kincaid,TE,BUF,FLEX,6800,20.28394038013128,2.98,DET,44138439,9.0659,statline_mc+recal_10_4b
10,FLEX4,00-0036988,Joshua Palmer,WR,BUF,FLEX,3200,6.249537314979367,1.95,DET,44138452,7.465,statline_mc+recal_10_4b
10,FLEX5,00-0035689,Dawson Knox,TE,BUF,FLEX,2800,4.677936168113385,1.67,DET,44138454,6.1095,statline_mc+recal_10_4b
