lineup_id,roster_slot,player_id,player_name,position,team,roster_role,salary,projection,value,opponent,site_player_id,sigma,sigma_source
1,CPT,00-0033873,Patrick Mahomes,QB,KC,CPT,15000,30.83021447492576,2.06,IND,44191070,12.2055,statline_mc+recal_10_4b
1,FLEX1,00-0038134,Kenneth Walker III,RB,KC,FLEX,10600,22.24227785278817,2.1,IND,44191015,10.1035,statline_mc+recal_10_4b
1,FLEX2,00-0036223,Jonathan Taylor,RB,IND,FLEX,11000,11.752809057722011,1.07,KC,44191014,8.0606,statline_mc+recal_10_4b
1,FLEX3,00-0033303,Harrison Butker,K,KC,FLEX,5000,8.2955,1.66,IND,44191029,4.9721,kicker_session_13_1
1,FLEX4,00-0039576,Spencer Shrader,K,IND,FLEX,4600,7.9954,1.74,KC,44191030,4.8596,kicker_session_13_1
1,FLEX5,DST_IND,Colts,DST,IND,FLEX,3200,6.244232197500001,1.95,KC,44191035,5.8794,dst_simulated_session_10_4+recal_10_4b
2,CPT,00-0033873,Patrick Mahomes,QB,KC,CPT,15000,30.83021447492576,2.06,IND,44191070,12.2055,statline_mc+recal_10_4b
2,FLEX1,00-0038134,Kenneth Walker III,RB,KC,FLEX,10600,22.24227785278817,2.1,IND,44191015,10.1035,statline_mc+recal_10_4b
2,FLEX2,00-0035710,Daniel Jones,QB,IND,FLEX,9200,9.18611632181424,1.0,KC,44191018,7.4549,statline_mc+recal_10_4b
2,FLEX3,00-0039576,Spencer Shrader,K,IND,FLEX,4600,7.9954,1.74,KC,44191030,4.8596,kicker_session_13_1
2,FLEX4,00-0030506,Travis Kelce,TE,KC,FLEX,6200,7.760989694557095,1.25,IND,44191022,6.376,statline_mc+recal_10_4b
2,FLEX5,DST_KC,Chiefs,DST,KC,FLEX,4200,7.399588653,1.76,IND,44191031,5.9104,dst_simulated_session_10_4+recal_10_4b
3,CPT,00-0038134,Kenneth Walker III,RB,KC,CPT,15900,33.36341677918226,2.1,IND,44191069,15.15525,statline_mc+recal_10_4b
3,FLEX1,00-0033873,Patrick Mahomes,QB,KC,FLEX,10000,20.55347631661717,2.06,IND,44191016,8.137,statline_mc+recal_10_4b
3,FLEX2,00-0033303,Harrison Butker,K,KC,FLEX,5000,8.2955,1.66,IND,44191029,4.9721,kicker_session_13_1
3,FLEX3,00-0030506,Travis Kelce,TE,KC,FLEX,6200,7.760989694557095,1.25,IND,44191022,6.376,statline_mc+recal_10_4b
3,FLEX4,00-0039894,Xavier Worthy,WR,KC,FLEX,5400,7.735576942981593,1.43,IND,44191028,7.2759,statline_mc+recal_10_4b
3,FLEX5,00-0040128,Tyler Warren,TE,IND,FLEX,7200,6.738567668948138,0.94,KC,44191020,6.0903,statline_mc+recal_10_4b
