player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_raw_status,injury_status
00-0032764,Derrick Henry,RB,BAL,8700,134303-39280,14.2851,14.2851,1.1165407966829557,1.2171313252111515,19.413074407013067,NO,27.14,45.67,1.0,1.0,9.9588,statline_mc+recal_10_4b,2.87827253358542,42.64049778422076,0.0,0.0,0.0,15.67225,104.05321844142809,0.9515,2.288,1.73775,20.47877562870257,0.09525,96.54848369755754,43.69924305129513,,classic,True,,ACTIVE
00-0038542,Bijan Robinson,RB,ATL,8900,134303-136855,14.3359,14.3359,1.2861839182585515,0.9193512220644292,16.95156983423589,CAR,20.5,43.5,1.0,1.0,9.3443,statline_mc+recal_10_4b,3.52818452551868,35.36569111343244,0.0,0.0,0.0,14.0075,66.9673329978889,0.4035,5.70475,4.35725,44.167115344470005,0.23725,76.49775037980599,7.060648074120628,,classic,True,,ACTIVE
00-0039918,Caleb Williams,QB,CHI,8400,134303-152113,11.7993,11.7993,1.02242997323818,1.1660064279841542,14.066653413380983,MIN,26.0,47.5,1.0,1.0,7.565,statline_mc+recal_10_4b,4.0092923487724725,26.17954799406604,17.2815,157.74838127176437,0.981,4.9725,28.74218162510408,0.3265,0.0,0.0,0.0,0.0,94.86753945164418,15.65766472621704,,classic,True,,ACTIVE
00-0034796,Lamar Jackson,QB,BAL,8800,134303-63115,11.6097,11.6097,0.9877181088314004,1.2171313252111515,13.956965377821144,NO,27.14,45.67,1.0,1.0,7.5005,statline_mc+recal_10_4b,4.439940963503957,25.40524502408667,16.21925,183.49039026029143,0.84925,4.795,25.08849767409486,0.28325,0.0,0.0,0.0,0.0,94.40855593758263,15.152658865630434,,classic,True,,ACTIVE
00-0039150,Bryce Young,QB,CAR,7200,134303-119606,13.2981,13.2981,0.9431864406779662,1.0314672247552132,12.937265719083156,ATL,23.0,43.5,1.0,1.0,7.3757,statline_mc+recal_10_4b,4.484650316681225,23.07684857141944,22.58625,184.55394457274323,1.17675,2.23475,9.736079361734262,0.11475,0.0,0.0,0.0,0.0,77.592237503306,4.558576559498505,,classic,True,,ACTIVE
00-0034855,Baker Mayfield,QB,TB,7600,134303-41535,10.467,10.467,1.0945941123996432,1.1175723148217356,12.80411257751568,CLE,24.92,41.5,1.0,1.0,7.424,statline_mc+recal_10_4b,3.909237435735828,23.275361765021547,18.304,165.3123046743736,0.8505,3.94075,21.868703905407347,0.2455,0.0,0.0,0.0,0.0,82.47162897822444,6.459412563934752,,classic,True,,ACTIVE
00-0039064,Zay Flowers,WR,BAL,7600,134303-112295,10.1163,10.1163,1.0387941685198911,1.2171313252111515,0.0,NO,27.14,45.67,1.0,1.0,8.1505,statline_mc+recal_10_4b,1.9955983860426183,28.91082790395665,0.0,0.0,0.0,0.155,0.6985680051879478,0.00425,6.3125,4.07775,80.70843671327498,0.43975,95.48642183520342,17.255951850303074,,classic,True,Out,OUT
00-0036264,Jordan Love,QB,GB,7700,134303-69017,12.1005,12.1005,0.9335950044603032,1.0686897376485536,12.072992274989232,NYJ,23.83,44.39,1.0,1.0,7.2945,statline_mc+recal_10_4b,4.02543256930514,21.595548053816884,22.422,182.9508807385781,1.01725,2.2105,9.102070454461062,0.09475,0.0,0.0,0.0,0.0,81.89852772635105,6.200330366675168,,classic,True,,ACTIVE
00-0039361,Bucky Irving,RB,TB,7900,134303-152664,11.3858,11.3858,0.9450022212350068,1.1175723148217356,12.024636139163391,CLE,24.92,41.5,1.0,1.0,7.7898,statline_mc+recal_10_4b,2.417800350429765,25.325173423599782,0.0,0.0,0.0,10.8835,49.80557220858587,0.40925,4.01275,3.1555,24.558289183048014,0.1165,82.96789178450392,12.714353036237856,,classic,True,,ACTIVE
00-0036442,Joe Burrow,QB,CIN,8200,134303-63336,10.0475,10.0475,1.207179304192685,0.9641976231407428,11.69487722975394,HOU,21.5,45.5,1.0,1.0,7.3255,statline_mc+recal_10_4b,3.502113595310676,21.70409649781475,18.6335,157.88978192175318,0.886,3.59775,17.295359528838105,0.16525,0.0,0.0,0.0,0.0,77.04542449087543,4.383959644711453,,classic,True,Questionable,QUESTIONABLE
00-0034844,Saquon Barkley,RB,PHI,8300,134303-64401,10.3952,10.3952,1.0160817414482453,1.0462665371103967,11.051095971964653,TEN,23.33,39.5,1.0,1.0,8.1729,statline_mc+recal_10_4b,1.623537438382998,24.435462690976955,0.0,0.0,0.0,13.1835,65.99304719074874,0.37225,2.0525,1.5155,12.17041252889779,0.06775,73.47420240738577,5.363779434608848,,classic,True,,ACTIVE
00-0036322,Justin Jefferson,WR,MIN,8600,134303-85671,10.2144,10.2144,1.0988880652335062,0.9641976231407428,10.822595614986524,CHI,21.5,47.5,1.0,1.0,7.468,statline_mc+recal_10_4b,1.8095900040891804,24.147231174987013,0.0,0.0,0.0,0.21575,1.4405101953536377,0.01025,6.899,4.551,58.78044595451159,0.41975,87.35722447855716,10.697061086890647,,classic,True,,ACTIVE
00-0038120,Breece Hall,RB,NYJ,7200,134303-103064,11.4292,11.4292,1.0132385606397158,0.922042006129008,10.677675210934634,GB,20.56,44.39,1.0,1.0,7.9346,statline_mc+recal_10_4b,1.703163834634596,23.742315777638595,0.0,0.0,0.0,13.771,57.64559984398121,0.418,2.354,1.81025,13.094902265365125,0.05775,75.5232558139535,6.462048852992841,,classic,True,,ACTIVE
00-0036875,Rhamondre Stevenson,RB,NE,6700,134303-111540,9.3133,9.3133,1.0881089885976605,1.050302713207265,10.64360216125168,PIT,23.42,41.5,1.0,1.0,7.737,statline_mc+recal_10_4b,1.892313769613196,22.811978232725544,0.0,0.0,0.0,11.19125,48.1089433594568,0.334,3.23575,2.475,20.98707825305999,0.10875,76.83899146897276,7.283115760233208,,classic,True,,ACTIVE
00-0032950,Carson Wentz,QB,MIN,7000,134303-70324,9.2093,9.2093,1.1863978590544155,0.9641976231407428,10.53467729915404,CHI,21.5,47.5,1.0,1.0,7.2774,statline_mc+recal_10_4b,2.7163981908453767,19.85112670231473,14.76725,115.5237371904024,0.977,4.03525,17.777278115379413,0.1775,0.0,0.0,0.0,0.0,77.08652913691263,4.39685006670529,,classic,True,,ACTIVE
00-0035685,David Montgomery,RB,HOU,7000,134303-73273,9.8499,9.8499,0.9810158448097142,1.076313625831527,10.400347206968032,CIN,24.0,45.5,1.0,1.0,7.6786,statline_mc+recal_10_4b,1.4420025900336588,23.24786817893801,0.0,0.0,0.0,11.974,48.17064664304104,0.497,2.16925,1.68425,13.951575426639296,0.08425,85.59351992520743,16.142006651834038,,classic,True,,ACTIVE
00-0036275,D'Andre Swift,RB,CHI,7100,134303-91598,10.2097,10.2097,0.8625499777876499,1.1660064279841542,10.268320639342893,MIN,26.0,47.5,1.0,1.0,7.7659,statline_mc+recal_10_4b,1.3822561740141857,22.82712533758256,0.0,0.0,0.0,10.59175,53.806609672722274,0.515,1.716,1.292,9.661596720706653,0.05,91.39242725254178,27.346768720308685,,classic,True,,ACTIVE
00-0036389,Jalen Hurts,QB,PHI,8600,134303-69531,10.6933,10.6933,0.9061909009812666,1.0462665371103967,10.138489918285446,TEN,23.33,39.5,1.0,1.0,7.3145,statline_mc+recal_10_4b,2.371289317396557,19.65280652911931,15.13375,108.4467935422712,0.8375,5.146,21.948681765945977,0.205,0.0,0.0,0.0,0.0,69.03519791942166,2.4738936937253,,classic,True,,ACTIVE
DST_CAR,Carolina Panthers,D,CAR,3300,134303-12553,9.992000007,9.992000007,1.3462598877103231,1.0974264087468455,9.992000007,ATL,23.0,43.5,,,6.1685,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.42776381909547,14.938341187080368,,classic,True,,ACTIVE
DST_TB,Tampa Bay Buccaneers,D,TB,4800,134303-12551,9.9693299115,9.9693299115,1.3432054601481902,1.356890312383012,9.9693299115,CLE,24.92,41.5,,,6.1874,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.02167085427136,16.613101165055085,,classic,True,,ACTIVE
00-0039163,C.J. Stroud,QB,HOU,7100,134303-129471,9.7428,9.7428,0.9329099018733272,1.076313625831527,9.782745668750112,CIN,24.0,45.5,1.0,1.0,7.1699,statline_mc+recal_10_4b,2.814287340966318,18.36613341080232,19.10475,138.06492641936853,0.90575,1.83,7.911486119753706,0.0785,0.0,0.0,0.0,0.0,79.83260601251874,5.349679961706052,,classic,True,,ACTIVE
00-0040743,Tyler Shough,QB,NO,7000,134303-88431,12.5642,12.5642,0.903222123104371,0.8310038119440915,9.430426725691072,BAL,18.53,45.67,1.0,1.0,7.1162,statline_mc+recal_10_4b,2.7363964399457017,17.598265324252132,25.69,139.2878235519356,0.91725,2.351,7.001637836136479,0.07075,0.0,0.0,0.0,0.0,68.36826677245878,2.358805541871585,,classic,True,,ACTIVE
DST_PHI,Philadelphia Eagles,D,PHI,4900,134303-12545,9.387027639,9.387027639,1.2647496763771608,1.3912950760241396,9.387027639,TEN,23.33,39.5,,,5.8017,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.16896984924624,5.773883343214615,,classic,True,,ACTIVE
00-0038597,Chase Brown,RB,CIN,7600,134303-89493,10.8562,10.8562,0.8852954242558863,0.9641976231407428,9.26683375840546,HOU,21.5,45.5,1.0,1.0,7.191,statline_mc+recal_10_4b,1.7458507654531037,20.34550632349805,0.0,0.0,0.0,11.1625,38.7253238572313,0.3185,3.51825,2.69275,17.86426372682327,0.0845,78.54063047797126,8.501590086949594,,classic,True,,ACTIVE
00-0037239,Chris Olave,WR,NO,7900,134303-87770,11.5153,11.5153,0.9502347417840376,0.8310038119440915,9.09304433951844,BAL,18.53,45.67,1.0,1.0,6.8639,statline_mc+recal_10_4b,1.8008292684753502,19.624789341232397,0.0,0.0,0.0,0.1375,0.7607795910820944,0.003,6.983,4.56375,52.79591380410231,0.2475,78.18501755352102,6.236551935011291,,classic,True,Questionable,QUESTIONABLE
00-0038124,Christian Watson,WR,GB,6900,134303-169776,8.782,8.782,0.9652582159624414,1.0686897376485536,9.059180117108587,NYJ,23.83,44.39,1.0,1.0,7.1671,statline_mc+recal_10_4b,1.3577290710722072,20.54503057279964,0.0,0.0,0.0,0.09,0.6333705100796064,0.003,5.473,3.45275,53.02468066100631,0.33175,83.95091897845391,8.754765031695259,,classic,True,,ACTIVE
00-0036554,Nico Collins,WR,HOU,7800,134303-91419,8.7918,8.7918,0.9565604151223128,1.076313625831527,0.0,CIN,24.0,45.5,1.0,1.0,6.8897,statline_mc+recal_10_4b,1.4580560727224878,20.13413897316527,0.0,0.0,0.0,0.503,3.205312610615564,0.017,5.9955,3.74775,48.16242408052162,0.33175,87.52486748812557,10.803070426425345,,classic,True,Out,OUT
00-0032464,Kalif Raymond,WR,CHI,5300,134303-70422,6.4965,6.4965,1.1732147269582405,1.1660064279841542,8.88705700130582,MIN,26.0,47.5,1.0,1.0,7.1393,statline_mc+recal_10_4b,1.1738957484933747,20.36780994162319,0.0,0.0,0.0,0.0695,0.546885789058763,0.00125,5.0675,3.36875,54.03993422399944,0.29675,90.02495353479728,12.514578910907405,,classic,True,,ACTIVE
00-0039491,Jalen Coker,WR,CAR,5900,134303-201547,9.1518,9.1518,0.937583395107487,1.0314672247552132,8.850600927071833,ATL,23.0,43.5,1.0,1.0,6.9017,statline_mc+recal_10_4b,1.3715495909141444,20.187624570905268,0.0,0.0,0.0,0.08775,0.5785309518499687,0.0055,5.538,3.677,49.62247831886837,0.333,77.41920217525985,5.961841987960716,,classic,True,,ACTIVE
DST_BAL,Baltimore Ravens,D,BAL,4600,134303-12555,8.781727905,8.781727905,1.183195357786784,1.214098293540763,8.781727905,NO,27.14,45.67,,,6.235,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.26381909547739,12.931525410100669,,classic,True,,ACTIVE
00-0040667,Matthew Golden,WR,GB,5900,134303-166916,8.4911,8.4911,0.9652582159624414,1.0686897376485536,8.759042821745002,NYJ,23.83,44.39,1.0,1.0,6.9106,statline_mc+recal_10_4b,1.4128280982031365,20.20103931138956,0.0,0.0,0.0,0.1105,0.7209932507546468,0.00475,6.26225,3.68725,51.88818496669538,0.279,82.78653541681008,8.175198325657364,,classic,True,,ACTIVE
00-0039851,Drake Maye,QB,NE,7500,134303-152316,9.5167,9.5167,0.8653131132917038,1.050302713207265,8.649148768636074,PIT,23.42,41.5,1.0,1.0,7.1509,statline_mc+recal_10_4b,2.055503396833964,16.821806367219462,19.54125,109.61319567208184,0.71925,3.7585,16.248709417527998,0.1345,0.0,0.0,0.0,0.0,69.1207132151988,2.4890510640581245,,classic,True,,ACTIVE
DST_NE,New England Patriots,D,NE,4100,134303-12541,8.576223898499999,8.576223898499999,1.155507027070121,1.2443164479707047,8.576223898499999,PIT,23.42,41.5,,,5.9501,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.1645728643216,8.611097211734995,,classic,True,,ACTIVE
00-0030565,Geno Smith,QB,NYJ,6700,134303-26483,9.0752,9.0752,1.015122212310437,0.922042006129008,8.494275725866366,GB,20.56,44.39,1.0,1.0,7.0647,statline_mc+recal_10_4b,2.2716475118906,16.18771813741532,17.27975,124.59891551213356,0.5965,3.3585,11.838191053810244,0.12425,0.0,0.0,0.0,0.0,63.1578947368421,1.6257771270098471,,classic,True,,ACTIVE
DST_CHI,Chicago Bears,D,CHI,3700,134303-12527,8.485789041,8.485789041,1.143322397264501,1.0463833199679229,8.485789041,MIN,26.0,47.5,,,6.2017,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.27324120603015,18.05873740378184,,classic,True,,ACTIVE
00-0040129,Emeka Egbuka,WR,TB,6500,134303-152655,6.6561,6.6561,1.1360513960958734,1.1175723148217356,8.450739309473752,CLE,24.92,41.5,1.0,1.0,6.9375,statline_mc+recal_10_4b,1.1887982135862631,19.32009681525256,0.0,0.0,0.0,0.105,0.8362922444579524,0.00475,4.97225,3.17825,50.68985085027956,0.28625,80.85814345701108,7.298509544657232,,classic,True,,ACTIVE
00-0040735,Luther Burden III,WR,CHI,6000,134303-166092,5.9283,5.9283,1.1732147269582405,1.1660064279841542,8.109768302854054,MIN,26.0,47.5,1.0,1.0,6.8827,statline_mc+recal_10_4b,0.976226488291646,18.993087799383424,0.0,0.0,0.0,0.407,3.6930718619770464,0.024,4.2375,2.785,47.07461116656348,0.255,92.38796723342742,14.380815816002784,,classic,True,,ACTIVE
00-0037740,Garrett Wilson,WR,NYJ,7200,134303-103564,8.6212,8.6212,1.0150728935013589,0.922042006129008,8.068907540121337,GB,20.56,44.39,1.0,1.0,6.7362,statline_mc+recal_10_4b,1.3593514371917517,17.886694556297865,0.0,0.0,0.0,0.09725,0.6164181073167375,0.00325,5.961,3.85875,46.26390729389664,0.246,74.41780821917808,4.9969459012581945,,classic,True,,ACTIVE
00-0036555,Chuba Hubbard,RB,CAR,6300,134303-87467,8.5237,8.5237,0.90330223604324,1.0314672247552132,7.9417259521176815,ATL,23.0,43.5,1.0,1.0,6.9275,statline_mc+recal_10_4b,1.1771375814805296,18.038516719780954,0.0,0.0,0.0,9.22375,37.01965678135793,0.30125,2.12925,1.65075,12.56385273981889,0.0775,73.48881033072338,5.370907228098686,,classic,True,,ACTIVE
DST_GB,Green Bay Packers,D,GB,4400,134303-12533,7.894320520500001,7.894320520500001,1.0636316102914545,1.094223802495639,7.894320520500001,NYJ,23.83,44.39,,,6.1315,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.01256281407036,3.3520912614449,,classic,True,,ACTIVE
00-0036973,Travis Etienne Jr.,RB,NO,6900,134303-89956,9.1771,9.1771,1.02840219161854,0.8310038119440915,7.842804379247927,BAL,18.53,45.67,1.0,1.0,6.5758,statline_mc+recal_10_4b,1.69480992672862,16.897000292861318,0.0,0.0,0.0,7.593,28.133747685035843,0.18175,4.07425,3.0775,19.206796107443427,0.09975,72.42681430407852,4.876617014338591,,classic,True,,ACTIVE
DST_HOU,Houston Texans,D,HOU,4000,134303-12556,7.737102999000001,7.737102999000001,1.0424491000139915,1.0463833199679229,7.737102999000001,CIN,24.0,45.5,,,6.0164,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.58479899497487,5.553343360109588,,classic,True,,ACTIVE
00-0040124,Tetairoa McMillan,WR,CAR,6800,134303-167620,7.9242,7.9242,0.937583395107487,1.0314672247552132,7.66334197671793,ATL,23.0,43.5,1.0,1.0,6.5563,statline_mc+recal_10_4b,1.2221064280106833,17.536292290475178,0.0,0.0,0.0,0.0965,0.4852009146394552,0.00525,5.67125,3.50775,44.16446885253984,0.2425,75.53564053142425,5.336562653995951,,classic,True,,ACTIVE
00-0034753,Mark Andrews,TE,BAL,5200,134303-52436,6.3851,6.3851,0.9535260115606936,1.2171313252111515,7.410359033699581,NO,27.14,45.67,1.0,1.0,5.9364,statline_mc+recal_10_4b,1.1068308137877114,16.71401412758836,0.0,0.0,0.0,0.0,0.0,0.0,4.64225,3.10575,41.24484033699579,0.2955,94.60040930458746,9.955987785910628,,classic,True,,ACTIVE
00-0036912,DeVonta Smith,WR,PHI,7400,134303-90576,6.9144,6.9144,0.9826538176426982,1.0462665371103967,7.108803388586197,TEN,23.33,39.5,1.0,1.0,6.4612,statline_mc+recal_10_4b,1.0271469671345337,17.145759897546668,0.0,0.0,0.0,0.135,0.671384821284614,0.00425,4.91275,2.92475,41.51289906457736,0.238,70.52342190404076,3.973889579892488,,classic,True,,ACTIVE
00-0036410,Tee Higgins,WR,CIN,7100,134303-89981,6.7958,6.7958,1.0846553002223869,0.9641976231407428,7.1072476890567895,HOU,21.5,45.5,1.0,1.0,6.1627,statline_mc+recal_10_4b,1.066453856011571,16.882549356555817,0.0,0.0,0.0,0.07875,0.6303850845810877,0.0015,4.9625,2.99125,40.40084180598681,0.2545,76.56957733874853,5.671204676434116,,classic,True,,ACTIVE
00-0038618,Xavier Hutchinson,WR,HOU,5400,134303-119788,6.6484,6.6484,0.9565604151223128,1.076313625831527,6.844918144176579,CIN,24.0,45.5,1.0,1.0,6.1928,statline_mc+recal_10_4b,1.057150658015602,15.808751741717602,0.0,0.0,0.0,0.0,0.0,0.0,5.03975,3.01375,39.42543144176579,0.2385,81.94267570730364,7.779298523624594,,classic,True,,ACTIVE
00-0037238,Drake London,WR,ATL,7700,134303-112745,7.0382,7.0382,1.0546083518655796,0.9193512220644292,6.823882543127167,CAR,20.5,43.5,1.0,1.0,6.2378,statline_mc+recal_10_4b,1.0346084358064538,15.857679987606945,0.0,0.0,0.0,0.4995,2.9898153562135303,0.02125,4.89075,2.97875,36.13026007505813,0.221,69.44215942727335,3.7290058985721135,,classic,True,,ACTIVE
00-0039919,Rome Odunze,WR,CHI,6300,134303-120033,4.9093,4.9093,1.1732147269582405,1.1660064279841542,6.715841574028116,MIN,26.0,47.5,1.0,1.0,6.4625,statline_mc+recal_10_4b,0.7191353309813088,16.413541340002375,0.0,0.0,0.0,0.058,0.4460628673000282,0.00125,3.70725,2.27925,42.126102872981136,0.22275,90.10838782955874,12.576150178098194,,classic,True,,ACTIVE
00-0033921,Chris Godwin Jr.,WR,TB,5800,134303-55635,5.2848,5.2848,1.1360513960958734,1.1175723148217356,6.709719213168585,CLE,24.92,41.5,1.0,1.0,6.3248,statline_mc+recal_10_4b,0.8229546983396495,16.26945862339447,0.0,0.0,0.0,0.529,3.650689811320493,0.0215,3.7165,2.423,37.75150232036536,0.21075,77.5362256487919,6.0030232987609375,,classic,True,,ACTIVE
00-0040236,Kyle Monangai,RB,CHI,5900,134303-144102,6.6115,6.6115,0.8625499777876499,1.1660064279841542,6.649481987010878,MIN,26.0,47.5,1.0,1.0,6.5896,statline_mc+recal_10_4b,0.9216004719496677,15.447746475909025,0.0,0.0,0.0,6.507,34.76913660340279,0.23075,1.684,1.28625,9.504433266705982,0.04475,85.28777608975108,15.69951921837762,,classic,True,,ACTIVE
00-0034829,Mike Gesicki,TE,CIN,5300,134303-56265,6.1375,6.1375,1.108901734104046,0.9641976231407428,6.562237744736302,HOU,21.5,45.5,1.0,1.0,5.4341,statline_mc+recal_10_4b,1.0335603896213277,15.144289709481844,0.0,0.0,0.0,0.0,0.0,0.0,4.27225,2.8635,35.31987744736301,0.27425,81.47383422488788,4.5998453456604045,,classic,True,,ACTIVE
DST_CIN,Cincinnati Bengals,D,CIN,3500,134303-12528,6.48116334,6.48116334,0.8732316077089715,0.937385057471264,6.48116334,HOU,21.5,45.5,,,6.1867,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.12437185929648,1.8534306821700623,,classic,True,,ACTIVE
DST_CLE,Cleveland Browns,D,CLE,3200,134303-12529,6.467659492500001,6.467659492500001,0.8714121833488563,0.9027785465212816,6.467659492500001,TB,16.58,41.5,,,6.0484,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.65891959798995,2.1946184264598303,,classic,True,,ACTIVE
00-0036900,Ja'Marr Chase,WR,CIN,8800,134303-85701,6.1718,6.1718,1.0846553002223869,0.9641976231407428,6.45459245238888,HOU,21.5,45.5,1.0,1.0,6.2402,statline_mc+recal_10_4b,0.9796265453841452,14.581936460697616,0.0,0.0,0.0,0.22725,1.3525422102816451,0.0065,4.67375,2.81475,35.90963231360715,0.21875,77.42232394850967,5.962936883713276,,classic,True,,ACTIVE
00-0035640,DK Metcalf,WR,PIT,7000,134303-73048,7.7663,7.7663,1.0182357301704967,0.8108229314597502,6.411954932433345,NE,18.08,41.5,1.0,1.0,6.0058,statline_mc+recal_10_4b,1.1270038504533109,13.977916558540764,0.0,0.0,0.0,0.0825,0.4507398111374893,0.00175,6.154,3.536,33.94880951319596,0.206,62.90433331038755,2.538475429279805,,classic,True,,ACTIVE
00-0033293,Aaron Jones Sr.,RB,MIN,5900,134303-40442,6.0187,6.0187,1.100429438767955,0.9641976231407428,6.386002068836434,CHI,21.5,47.5,1.0,1.0,6.541,statline_mc+recal_10_4b,0.7661623477547068,14.649846925914558,0.0,0.0,0.0,7.6745,32.19435695355723,0.27075,1.4405,1.068,8.350663734807105,0.044,75.08326516302444,6.208673570087811,,classic,True,,ACTIVE
00-0037525,Jordan Mason,RB,MIN,5500,134303-86875,5.9649,5.9649,1.100429438767955,0.9641976231407428,0.0,CHI,21.5,47.5,1.0,1.0,6.5681,statline_mc+recal_10_4b,0.6423480266731949,15.166473593646437,0.0,0.0,0.0,8.04025,35.3491409428599,0.30175,0.9245,0.6895,5.62254236597478,0.02825,74.21117213976862,5.7354493136601645,,classic,True,Injured Reserve,OUT
DST_TEN,Tennessee Titans,D,TEN,3000,134303-12534,6.275086443000001,6.275086443000001,0.8454660892921828,0.9643052455769542,6.275086443000001,PHI,16.17,39.5,,,5.946,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.7766959798995,3.086980059338433,,classic,True,,ACTIVE
00-0039811,MarShawn Lloyd,RB,GB,6100,134303-119697,6.726,6.726,0.8691840663408856,1.0686897376485536,6.247698049089313,NYJ,23.83,44.39,1.0,1.0,6.4638,statline_mc+recal_10_4b,0.7470026608519783,15.063742207176526,0.0,0.0,0.0,10.01625,35.9797239955499,0.244,1.2645,0.92075,6.588506495343235,0.03225,74.95442327918663,6.136376238753407,,classic,True,,ACTIVE
00-0023459,Aaron Rodgers,QB,PIT,7100,134303-6894,8.0926,8.0926,0.9518644067796612,0.8108229314597502,6.24579265478649,NE,18.08,41.5,1.0,1.0,6.8551,statline_mc+recal_10_4b,1.423770182277406,12.77719000688813,18.95375,89.25513212600003,0.56375,2.334,6.808373697464882,0.07625,0.0,0.0,0.0,0.0,56.12591466102442,0.983833741930172,,classic,True,,ACTIVE
DST_ATL,Atlanta Falcons,D,ATL,3400,134303-12525,6.201101726999999,6.201101726999999,0.8354978491616118,0.978140929535232,6.201101726999999,CAR,20.5,43.5,,,6.1199,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.454145728643216,0.9727351847797386,,classic,True,,ACTIVE
DST_NYJ,New York Jets,D,NYJ,3100,134303-12544,6.1743395565,6.1743395565,0.8318920808842926,0.9440722358082392,6.1743395565,GB,20.56,44.39,,,6.075,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9375,3.5652953133480207,,classic,True,,ACTIVE
00-0034351,Dallas Goedert,TE,PHI,5700,134303-83074,5.7298,5.7298,1.0145664739884397,1.0462665371103967,6.082251729806205,TEN,23.33,39.5,1.0,1.0,5.5543,statline_mc+recal_10_4b,0.6789989204154862,14.196778484625993,0.0,0.0,0.0,0.0,0.0,0.0,3.704,2.52725,32.531267298062055,0.26725,75.82353974171936,3.299108956087515,,classic,True,,ACTIVE
00-0040734,TreVeyon Henderson,RB,NE,5800,134303-152647,5.2799,5.2799,1.0881089885976605,1.050302713207265,6.034058636259688,PIT,23.42,41.5,0.0,0.0,6.2352,statline_mc+recal_10_4b,0.844938443167805,13.88929610168689,0.0,0.0,0.0,6.4555,30.69854983450767,0.223,1.455,1.0785,9.194536528089214,0.0415,67.7692240271123,3.193234799697651,,classic,True,,ACTIVE
00-0037228,Jaylen Warren,RB,PIT,6100,134303-112057,7.9993,7.9993,0.9232045017029468,0.8108229314597502,5.9879284872492144,NE,18.08,41.5,1.0,1.0,6.0291,statline_mc+recal_10_4b,1.1815115052038987,12.993975494468264,0.0,0.0,0.0,7.9835,24.17341111714042,0.16725,2.97425,2.27075,12.192123755351716,0.05425,58.425996260371626,1.3656767650803243,,classic,True,,ACTIVE
DST_PIT,Pittsburgh Steelers,D,PIT,4300,134303-12547,5.8726717875,5.8726717875,0.7912472433607488,0.96059954651197,5.8726717875,NE,18.08,41.5,,,6.0413,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42744974874372,0.4985308548358828,,classic,True,,ACTIVE
00-0040676,Cam Ward,QB,TEN,6500,134303-168356,8.0838,8.0838,1.0016485280999108,0.7251663054039913,5.871775122258851,PHI,16.17,39.5,1.0,1.0,6.8545,statline_mc+recal_10_4b,1.1276360329616022,12.130905737211608,17.713,76.26445543315663,0.519,3.15225,9.84696904932585,0.08575,0.0,0.0,0.0,0.0,46.32603808516265,0.4885616847622845,,classic,True,,ACTIVE
00-0033662,Cooper Rush,QB,ATL,6900,134303-44715,5.1979,5.1979,1.225448706512043,0.9193512220644292,5.856071378276059,CAR,20.5,43.5,1.0,1.0,6.8924,statline_mc+recal_10_4b,0.933469774198192,12.517772511372373,10.42,82.25779417088884,0.5205,1.2665,5.930096114405066,0.05175,0.0,0.0,0.0,0.0,56.81598783390637,1.0335428736957435,,classic,True,,ACTIVE
