lineup_id,roster_slot,player_id,player_name,position,team,roster_role,salary,projection,value,opponent,site_player_id,sigma,sigma_source
1,CPT,00-0034869,Sam Darnold,QB,SEA,CPT,14100,25.986981162432023,1.84,NE,43782100,12.0003,statline_mc+recal_10_4b
1,FLEX1,00-0038543,Jaxon Smith-Njigba,WR,SEA,FLEX,10600,18.009980132269362,1.7,NE,43782034,9.4858,statline_mc+recal_10_4b
1,FLEX2,00-0039851,Drake Maye,QB,NE,FLEX,10000,12.691486398706456,1.27,SEA,43782035,7.6994,statline_mc+recal_10_4b
1,FLEX3,00-0031492,Jason Myers,K,SEA,FLEX,5400,8.155,1.51,NE,43782049,4.9212,kicker_session_13_1
1,FLEX4,00-0040200,Andy Borregales,K,NE,FLEX,5000,7.9954,1.6,SEA,43782051,4.8596,kicker_session_13_1
1,FLEX5,DST_SEA,Seahawks,DST,SEA,FLEX,4400,7.563271652999999,1.72,NE,43782054,5.8708,dst_simulated_session_10_4+recal_10_4b
2,CPT,00-0034869,Sam Darnold,QB,SEA,CPT,14100,25.986981162432023,1.84,NE,43782100,12.0003,statline_mc+recal_10_4b
2,FLEX1,00-0038543,Jaxon Smith-Njigba,WR,SEA,FLEX,10600,18.009980132269362,1.7,NE,43782034,9.4858,statline_mc+recal_10_4b
2,FLEX2,00-0039851,Drake Maye,QB,NE,FLEX,10000,12.691486398706456,1.27,SEA,43782035,7.6994,statline_mc+recal_10_4b
2,FLEX3,00-0031492,Jason Myers,K,SEA,FLEX,5400,8.155,1.51,NE,43782049,4.9212,kicker_session_13_1
2,FLEX4,00-0040200,Andy Borregales,K,NE,FLEX,5000,7.9954,1.6,SEA,43782051,4.8596,kicker_session_13_1
2,FLEX5,00-0039793,AJ Barner,TE,SEA,FLEX,4600,7.139507021609996,1.55,NE,43782053,6.2973,statline_mc+recal_10_4b
3,CPT,00-0038543,Jaxon Smith-Njigba,WR,SEA,CPT,15900,27.014970198404043,1.7,NE,43782097,14.2287,statline_mc+recal_10_4b
3,FLEX1,00-0034869,Sam Darnold,QB,SEA,FLEX,9400,17.324654108288016,1.84,NE,43782037,8.0002,statline_mc+recal_10_4b
3,FLEX2,00-0039851,Drake Maye,QB,NE,FLEX,10000,12.691486398706456,1.27,SEA,43782035,7.6994,statline_mc+recal_10_4b
3,FLEX3,00-0031492,Jason Myers,K,SEA,FLEX,5400,8.155,1.51,NE,43782049,4.9212,kicker_session_13_1
3,FLEX4,DST_SEA,Seahawks,DST,SEA,FLEX,4400,7.563271652999999,1.72,NE,43782054,5.8708,dst_simulated_session_10_4+recal_10_4b
3,FLEX5,00-0039793,AJ Barner,TE,SEA,FLEX,4600,7.139507021609996,1.55,NE,43782053,6.2973,statline_mc+recal_10_4b
